date,open,high,low,close
2022-05-01 22:00:00,1.05476,1.05525,1.05459,1.05464
2022-05-01 22:15:00,1.05463,1.05484,1.05372,1.05375
2022-05-01 22:30:00,1.05375,1.05422,1.05375,1.05397
2022-05-01 22:45:00,1.05396,1.05468,1.05395,1.05432
2022-05-01 23:00:00,1.05432,1.05495,1.05422,1.05435
2022-05-01 23:15:00,1.05435,1.05485,1.054,1.05422
2022-05-01 23:30:00,1.05422,1.05464,1.0541,1.05443
2022-05-01 23:45:00,1.05441,1.05447,1.05346,1.05352
2022-05-02 00:00:00,1.05351,1.05527,1.0535,1.05523
2022-05-02 00:15:00,1.05523,1.05532,1.05466,1.05466
2022-05-02 00:30:00,1.05466,1.05466,1.05342,1.05346
2022-05-02 00:45:00,1.05346,1.0535,1.05268,1.05295
2022-05-02 01:00:00,1.05296,1.05338,1.05274,1.05279
2022-05-02 01:15:00,1.05278,1.05304,1.05236,1.05275
2022-05-02 01:30:00,1.05274,1.05288,1.05228,1.05288
2022-05-02 01:45:00,1.05287,1.05293,1.05217,1.05247
2022-05-02 02:00:00,1.05246,1.05267,1.05182,1.05194
2022-05-02 02:15:00,1.05195,1.05265,1.05186,1.0526
2022-05-02 02:30:00,1.0526,1.05274,1.05215,1.05264
2022-05-02 02:45:00,1.05263,1.05279,1.05212,1.05212
2022-05-02 03:00:00,1.05213,1.05264,1.05206,1.05232
2022-05-02 03:15:00,1.05231,1.0524,1.05176,1.05184
2022-05-02 03:30:00,1.05184,1.05249,1.05182,1.05244
2022-05-02 03:45:00,1.05243,1.05276,1.05236,1.05243
2022-05-02 04:00:00,1.05244,1.05246,1.05184,1.05214
2022-05-02 04:15:00,1.05216,1.05217,1.05185,1.05186
2022-05-02 04:30:00,1.05186,1.052,1.05172,1.05184
2022-05-02 04:45:00,1.05184,1.05202,1.05179,1.05187
2022-05-02 05:00:00,1.05186,1.05198,1.05163,1.05186
2022-05-02 05:15:00,1.05186,1.05198,1.05165,1.05172
2022-05-02 05:30:00,1.05171,1.05214,1.05157,1.05174
2022-05-02 05:45:00,1.05173,1.05212,1.05106,1.05133
2022-05-02 06:00:00,1.05132,1.05212,1.05104,1.0514
2022-05-02 06:15:00,1.0514,1.05234,1.05119,1.05215
2022-05-02 06:30:00,1.05214,1.0526,1.05188,1.05248
2022-05-02 06:45:00,1.05249,1.05518,1.05237,1.05485
2022-05-02 07:00:00,1.05485,1.05685,1.05452,1.05555
2022-05-02 07:15:00,1.05554,1.05585,1.05424,1.05467
2022-05-02 07:30:00,1.05468,1.05494,1.05425,1.05486
2022-05-02 07:45:00,1.05487,1.05504,1.0532,1.05332
2022-05-02 08:00:00,1.05331,1.05364,1.05257,1.05308
2022-05-02 08:15:00,1.05308,1.05326,1.05263,1.053
2022-05-02 08:30:00,1.053,1.0536,1.0526,1.05306
2022-05-02 08:45:00,1.05306,1.05346,1.0526,1.0529
2022-05-02 09:00:00,1.05288,1.05332,1.0524,1.0524
2022-05-02 09:15:00,1.05239,1.05281,1.05221,1.05273
2022-05-02 09:30:00,1.05272,1.05275,1.0519,1.05238
2022-05-02 09:45:00,1.05239,1.05278,1.05202,1.0527
2022-05-02 10:00:00,1.0527,1.05288,1.05201,1.05206
2022-05-02 10:15:00,1.05206,1.05252,1.052,1.05221
2022-05-02 10:30:00,1.05221,1.05292,1.05201,1.05244
2022-05-02 10:45:00,1.05243,1.05282,1.05216,1.05265
2022-05-02 11:00:00,1.05264,1.0527,1.05167,1.05245
2022-05-02 11:15:00,1.05245,1.0528,1.05212,1.05273
2022-05-02 11:30:00,1.05272,1.05276,1.05203,1.05208
2022-05-02 11:45:00,1.05208,1.05244,1.05138,1.05166
2022-05-02 12:00:00,1.05166,1.05268,1.05165,1.0524
2022-05-02 12:15:00,1.05244,1.05301,1.05205,1.05299
2022-05-02 12:30:00,1.053,1.05329,1.05206,1.05254
2022-05-02 12:45:00,1.05254,1.05268,1.05084,1.05108
2022-05-02 13:00:00,1.05109,1.05189,1.05106,1.0515
2022-05-02 13:15:00,1.0515,1.05154,1.05029,1.0506
2022-05-02 13:30:00,1.05059,1.05234,1.05056,1.05221
2022-05-02 13:45:00,1.05222,1.05281,1.05182,1.0524
2022-05-02 14:00:00,1.05254,1.05332,1.05149,1.05252
2022-05-02 14:15:00,1.05251,1.05355,1.05214,1.0534
2022-05-02 14:30:00,1.0534,1.0542,1.05299,1.05302
2022-05-02 14:45:00,1.05301,1.05335,1.05225,1.05227
2022-05-02 15:00:00,1.05229,1.0523,1.05211,1.05212
